,VOC,JSC,FF,PCE
1371,680.0,14.16,0.66,6.3
1372,680.0,14.08,0.65,6.2
1373,680.0,13.44,0.67,6.12
1376,711.0,12.3,0.76,6.6
1377,762.0,12.7,0.74,7.2
1378,662.0,6.45,0.69,3.0
1379,663.0,6.83,0.74,3.4
1380,610.0,9.99,0.71,4.36
1382,715.0,12.48,0.74,6.58
1383,714.0,15.11,0.72,7.74
1384,737.0,13.73,0.74,7.48
1388,703.0,9.89,0.62,4.3
1389,720.0,9.85,0.645,4.6
1390,732.0,12.0,0.7,6.1
1392,700.0,7.6,0.75,3.98
1393,650.0,8.72,0.73,4.1
1398,630.0,6.05,0.66,2.52
1401,704.0,18.08,0.71,9.05
1405,885.0,12.79,0.69,7.81
1407,907.0,14.32,0.68,8.83
1408,680.0,6.45,0.59,2.57
1409,640.0,7.2,0.58,2.65
1410,740.0,9.03,0.64,4.31
1411,640.0,6.47,0.73,3.0
1413,650.0,7.44,0.7,3.39
1415,616.0,3.27,0.51,1.02
1416,611.0,3.55,0.5,1.08
1417,612.0,4.49,0.62,1.7
1422,741.0,13.13,0.73,7.09
1423,739.0,13.73,0.74,7.48
1425,573.0,3.29,0.77,1.45
1427,689.0,15.09,0.72,7.53
1429,650.0,4.5,0.7,2.0
1430,585.0,8.97,0.73,3.83
1433,860.0,4.22,68.0,2.5
1434,760.0,5.33,72.0,2.9
1435,760.0,7.89,65.0,3.9
1436,780.0,7.9,55.0,3.4
1437,800.0,6.86,55.0,3.0
1438,836.0,10.35,0.678,5.87
1439,822.0,10.74,0.63,5.56
1440,853.0,8.71,0.669,4.97
1441,720.0,10.98,0.57,4.48
1442,640.0,10.31,0.62,4.08
1443,615.0,11.8,0.58,4.23
1444,675.0,12.65,0.63,5.35
1445,756.0,15.4,0.76,8.8
1446,683.0,9.6,0.78,5.1
1447,603.0,11.8,0.75,5.4
1448,671.0,10.1,0.7,4.8
1449,810.0,9.4,0.74,5.6
1450,622.0,14.9,0.71,6.6
1451,632.0,13.8,0.69,6.02
1452,567.0,9.05,0.56,2.87
1453,543.0,8.02,0.64,2.79
1454,615.0,13.6,0.69,5.77
1456,617.0,5.48,0.73,2.47
1459,634.0,15.4,0.69,6.71
1465,680.0,12.0,0.68,5.57
1466,680.0,11.3,0.69,5.34
1467,700.0,12.7,0.7,6.22
1468,640.0,15.5,0.63,6.27
1474,783.0,6.37,0.771,7.7
1477,922.0,6.18,0.756,8.6
1480,886.0,6.14,0.744,8.1
1485,670.0,15.2,0.66,6.72
1486,670.0,11.9,0.68,5.36
1487,580.0,13.5,0.64,5.01
1492,324.0,5.7,0.5,0.94
1494,717.0,15.4,0.72,7.96
1495,645.0,7.51,0.85,4.12
1496,699.0,13.43,0.65,6.06
1497,720.0,15.2,0.733,8.02
1499,946.0,7.66,0.658,4.76
1500,893.0,10.1,0.681,6.15
1501,833.0,16.5,0.737,10.1
1502,832.0,11.8,0.703,6.91
1504,646.0,7.13,0.68,3.13
1505,603.0,3.04,0.66,1.21
1507,860.0,11.33,0.57,5.56
1508,320.0,0.44,0.13,0.93
1509,642.0,14.1,0.66,5.98
1510,650.0,14.8,0.64,6.13
1511,650.0,13.7,0.65,5.82
1512,640.0,13.2,0.64,5.38
1513,586.0,10.3,0.67,4.01
1514,690.0,10.56,0.65,4.7
1515,618.0,7.52,0.65,3.01
1516,664.0,9.69,0.696,4.65
1517,709.0,11.71,0.7086,5.8
1518,690.0,13.72,0.71,6.72
1519,710.0,14.01,0.71,7.05
1520,770.0,13.79,0.72,7.64
1524,641.0,16.13,0.718,7.42
1525,664.0,17.45,0.742,8.6
1526,680.0,14.5,0.61,5.95
1527,650.0,15.6,0.6,6.04
1529,640.0,11.1,0.66,4.73
1532,680.0,14.17,0.66,6.4
1537,830.0,7.6,0.74,4.7
1544,790.0,3.88,0.78,10.3
1546,560.0,14.2,0.6,4.77
1548,530.0,11.0,0.51,2.97
1550,600.0,8.55,0.62,3.16
1551,580.0,11.15,0.59,3.81
1552,484.0,7.58,0.65,2.4
1555,668.0,12.61,0.73,6.11
1558,793.6,12.08,0.748,7.17
1561,590.0,5.56,0.65,2.13
1566,541.0,15.96,0.65,5.65
1570,625.0,14.53,0.66,6.03
1572,650.0,11.46,0.76,5.66
1573,700.0,12.26,0.73,6.26
1574,290.0,9.21,0.49,1.31
1575,300.0,8.11,0.56,1.37
1576,340.0,7.76,0.64,1.69
1577,811.0,14.1,0.77,8.72
1578,901.0,13.4,0.74,8.86
1579,670.0,12.69,0.7,5.98
1583,730.0,14.44,0.7,7.45
1587,606.0,10.79,0.68,4.44
1590,618.0,8.19,0.697,3.53
1595,655.0,6.08,0.761,3.03
1599,730.0,12.45,0.62,5.59
1601,740.0,13.51,0.63,6.3
1604,720.0,13.69,0.6,5.94
1607,720.0,13.49,0.63,6.11
1609,684.0,8.77,0.65,3.93
1610,727.0,10.59,0.66,5.06
1611,707.0,12.24,0.65,5.59
1613,700.0,14.51,0.715,7.26
1620,690.0,10.11,0.689,4.81
1622,700.0,12.08,0.705,5.96
1624,620.0,8.65,0.73,3.92
1630,724.0,16.28,0.684,8.06
1639,346.0,7.65,0.55,1.45
1643,699.0,14.2,0.63,6.29
1650,646.0,13.4,0.7,6.1
1651,616.0,9.3,0.73,4.2
1652,610.0,7.4,0.64,2.89
1654,660.0,9.2,0.72,4.37
1658,741.0,14.34,0.676,7.2
1661,725.0,13.56,0.658,6.51
1663,690.0,11.5,0.67,5.38
1665,690.0,9.5,0.69,4.5
1667,600.0,6.43,0.67,2.63
1669,730.0,14.59,0.64,6.75
1670,630.0,9.12,0.717,4.12
1671,660.0,14.79,0.667,6.51
1672,700.0,14.25,0.705,7.03
1673,690.0,6.85,0.63,3.0
1674,560.0,4.45,0.63,1.58
1676,722.0,13.42,0.66,6.42
1677,708.0,13.68,0.63,6.1
1681,498.0,1.92,0.63,0.61
1682,739.4,16.02,0.63,7.42
1684,719.2,17.83,0.64,8.24
1685,729.2,15.89,0.62,7.2
1688,739.4,15.94,0.624,7.35
1689,776.0,12.0,0.5627,5.24
1690,774.0,14.12,0.5827,6.37
1695,792.0,12.82,0.73,7.41
1696,804.0,13.25,0.73,7.7
1697,813.0,12.3,0.72,7.23
1699,688.0,9.4,73.7,4.8
1700,672.0,10.27,0.69,4.78
1701,710.0,9.48,0.67,4.52
1702,726.0,10.46,0.64,4.88
1703,583.0,6.5,0.73,2.75
1704,524.0,3.1,0.73,1.19
1705,526.0,3.4,0.72,1.29
1706,525.0,3.0,0.73,1.14
1707,590.0,7.8,0.71,3.27
1709,480.0,1.3,0.7,0.44
1710,630.0,8.1,0.68,3.49
1711,704.0,8.1,0.68,3.86
1712,668.0,9.4,0.69,4.36
1713,760.0,9.7,0.72,5.33
1714,690.0,16.94,0.67,7.83
1715,660.0,16.29,0.71,7.62
1716,720.0,15.76,0.73,8.27
1718,664.0,4.8,0.72,2.3
1719,720.0,13.5,0.69,6.71
1720,760.0,11.11,0.71,6.0
1721,730.0,9.3,0.49,3.61
1722,790.0,6.64,0.59,3.06
1723,710.0,8.56,0.47,2.89
1724,700.0,4.62,0.62,2.0
1729,570.0,7.3,0.65,2.76
1730,697.0,8.5,75.9,4.5
1731,601.0,7.84,0.73,3.4
1733,478.0,5.14,0.43,1.1
1734,678.0,7.5,0.75,3.77
1735,669.0,9.88,0.74,4.88
1736,610.0,8.66,0.76,4.01
1738,700.0,6.42,0.74,3.33
1739,720.0,4.67,0.72,2.43
1740,620.0,3.78,0.63,1.49
1741,640.0,1.04,0.65,0.44
1742,559.0,9.89,0.64,3.52
1743,513.0,12.24,0.62,3.92
1744,596.0,8.72,0.64,3.33
1745,540.0,13.66,0.59,4.36
1746,536.0,13.27,0.62,4.41
1749,644.0,14.77,0.63,5.98
1751,680.0,7.78,0.66,3.5
1752,670.0,4.35,0.62,1.8
1753,648.0,9.58,0.71,4.41
1754,520.0,5.83,0.72,2.18
1757,760.0,12.57,0.74,7.04
1758,710.0,8.6,0.67,4.1
